data,regiao,categoria,produto,vendedor,quantidade,valor_unitario,custo_unitario,status
2024-08-05,Sul,Móveis,Cadeira Ergo,Costa,13,890.00,520.00,Concluído
2024-08-09,Sudeste,Eletrônicos,Notebook Pro,Lima,5,4500.00,3200.00,Concluído
2024-08-13,Norte,Software,CRM Básico,Oliveira,9,1200.00,400.00,Concluído
2024-08-17,Centro-Oeste,Serviços,Treinamento,Ferreira,3,3500.00,1500.00,Pendente
2024-08-21,Sudeste,Móveis,Mesa Escritório,Ribeiro,6,2100.00,1400.00,Concluído
2024-08-25,Nordeste,Eletrônicos,Monitor 27,Alves,7,1200.00,780.00,Concluído
2024-09-02,Sul,Software,Licença Office,Martins,32,350.00,120.00,Concluído
2024-09-06,Sudeste,Serviços,Consultoria TI,Pereira,1,8500.00,4000.00,Concluído
2024-09-10,Norte,Eletrônicos,Tablet 10,Carvalho,14,980.00,650.00,Concluído
2024-09-14,Centro-Oeste,Móveis,Armário Arquivo,Gomes,5,1650.00,1100.00,Concluído
2024-09-18,Sudeste,Software,Antivírus Corp,Silva,50,180.00,45.00,Concluído
2024-09-22,Nordeste,Serviços,Suporte Mensal,Santos,9,2200.00,900.00,Concluído
2024-09-26,Sul,Eletrônicos,Impressora Laser,Costa,4,890.00,580.00,Concluído
2024-10-01,Sudeste,Móveis,Cadeira Ergo,Lima,18,890.00,520.00,Concluído
2024-10-05,Norte,Eletrônicos,Notebook Pro,Oliveira,2,4500.00,3200.00,Concluído
2024-10-09,Centro-Oeste,Software,CRM Básico,Ferreira,11,1200.00,400.00,Concluído
2024-10-13,Sudeste,Serviços,Treinamento,Ribeiro,6,3500.00,1500.00,Concluído
2024-10-17,Nordeste,Móveis,Mesa Escritório,Alves,4,2100.00,1400.00,Concluído
2024-10-21,Sul,Eletrônicos,Monitor 27,Martins,12,1200.00,780.00,Concluído
2024-10-25,Sudeste,Software,Licença Office,Pereira,38,350.00,120.00,Concluído
2024-11-02,Norte,Serviços,Consultoria TI,Carvalho,1,8500.00,4000.00,Concluído
2024-11-06,Centro-Oeste,Eletrônicos,Tablet 10,Gomes,16,980.00,650.00,Concluído
2024-11-10,Sudeste,Móveis,Armário Arquivo,Silva,8,1650.00,1100.00,Concluído
2024-11-14,Nordeste,Software,Antivírus Corp,Santos,45,180.00,45.00,Concluído
2024-11-18,Sul,Serviços,Suporte Mensal,Costa,11,2200.00,900.00,Concluído
2024-11-22,Sudeste,Eletrônicos,Impressora Laser,Lima,6,890.00,580.00,Cancelado
2024-11-26,Norte,Móveis,Cadeira Ergo,Oliveira,10,890.00,520.00,Concluído
2024-12-02,Centro-Oeste,Eletrônicos,Notebook Pro,Ferreira,3,4500.00,3200.00,Concluído
2024-12-06,Sudeste,Software,CRM Básico,Ribeiro,14,1200.00,400.00,Concluído
2024-12-10,Nordeste,Serviços,Treinamento,Alves,2,3500.00,1500.00,Concluído
2024-12-14,Sul,Móveis,Mesa Escritório,Martins,7,2100.00,1400.00,Concluído
2024-12-18,Sudeste,Eletrônicos,Monitor 27,Pereira,9,1200.00,780.00,Concluído
2024-12-22,Norte,Software,Licença Office,Carvalho,27,350.00,120.00,Pendente
2024-12-26,Centro-Oeste,Serviços,Consultoria TI,Gomes,1,8500.00,4000.00,Concluído
